ISBN,正书名,作者,出版单位,出版时间,其他责任者,定价(元),装帧方式,开本或尺寸,副书名及说明文字,丛书名,分册名,分册号,正文语种,版次,市场分类,学科分类,中图法分类,CIP核发时间,主题词,入选书单,内容摘要
9787572125539,宇宙奥秘启蒙绘本,(澳)卡米拉·戈登,长江少年儿童出版社,2022.4,"胡江波,编译",298.00,盒装,21*21,,,,,汉英对照,1,科普/百科,教育学,G613.3,2022-02,科学知识; 学前教育; 教学参考资料,,这套丛书由10个有趣的、图文并茂的、让孩子一看就懂的“科普描述型”故事组成。内容跨越从宇宙天体到地质生态，再到生活常识的几个大维度，为孩子展示宏观世界的同时，也帮助孩子理解这些看上去如此神秘壮观的事物其实和我们的日常生活息息相关，给孩子传达每个人、每个物体其实都是“宇宙尘埃”的思想，让孩子学习知识的同时也学会用博大的心胸看待事物。每本书配套有内容相关的游戏操作材料包，供孩子在动手过程中理解科学知识，激发学习兴趣。
9787558338007,妙趣科学,（德）多丽丝·吕贝尔，著绘,新世纪出版社,2023.5,风雷，译,39.80,精装,16^28,,分享、友爱与帮助,,1,中文,,科普/百科,教育学,G613.3,2023-03,科学知识; 学前教育; 教学参考资料,,本书是一本适合2-4岁小朋友的科普翻翻书，是“妙趣科学”系列图书的其中一册。全书主要围绕以下问题进行介绍：我们要跟别人分享什么？我们怎么能够和别人达成一致？怎么友好和睦地与他人相处？如何帮助和关心他人？孩子们在阅读中能够找到这些问题的答案，帮助小朋友更好地建立与他人的关系。书中设计了一系列翻一翻、转一转等互动机关，增强孩子们的阅读体验。
9787547744291,内裤大作战,"(日)小室尚子,著",北京日报出版社,2023.6,"卓扬,译",50.00,精装,15*21,,小怪兽想象力桥梁书,,1,中文,,手工/游戏,生物学,R32-49,2022-11,人体; 少儿读物,,“小怪兽想象力绘本”分为上下两册，即《人体王国大冒险》和《算术王国大冒险》。本书充满想象力，讲述了怪兽帕尔贡和其人类朋友瓦塔尔一起寻找内裤的奇妙故事。在《人体王国大冒险》中，瓦塔尔由于腿受伤而进妖怪医院治疗，帕尔贡在医院里弄丢了内裤，而治疗和寻找内裤的过程中设置了很多有关人体知识的的游戏，这是一场人体王国大冒险。在《算术王国大冒险》中，瓦塔尔和帕尔贡根据怪人瓦鲁偷完内裤而留下的纸条，开启了寻找内裤之旅，在此过程中二人通过与怪人们展开有关算术知识的游戏大战，而最终找回内裤，这是一场算术王国大冒险。
9787541166327,绕着地球去发现,"(英)克莱夫·吉福德,(英)苏西·布鲁克斯,著",四川文艺出版社,2023.6,"张灵羚,译",198.00,精装,25 * 20,上下册,,,,中文,1,科普/百科,历史学,K103-49,2023-05,世界史; 文化史; 儿童读物,,这是一本以世界游为主题的儿童科普读物。书中为孩子们介绍了14个著名的国家，内容包括这些国家的著名城市、风景名胜、自然风光、民风民俗、传统节日、文化艺术、特色美食、传奇人物、发明创造等。阅读本书，孩子们能够了解不同国家的社会风貌，学到地理、历史、经济、文化、生物、科技等多方面的知识。丰富的内容搭建起科学的知识体系，近700幅精美高清图片能为小读者带来震撼的视觉感触。目前童书市场上有关“文化旅行”的图书大多以“游中国”为主题，少有涉及世界各国内容的，本书的出版能够弥补市场空白。此外，本书能够帮助孩子拓展眼界、培养世界观，打下良好的文化基础，让那些没有机会出国旅行的孩子足不出户便可体验世界各地的生活。
9787571428556,“假如有一天”科学幻想绘本系列,"(日) 山本省三, 著",北京科学技术出版社,2023.7,"张彤, 苟颖, 何芳, 戴黛, 译",225.00,精装,23 * 20,全5册,,,,中文,1,儿童文学,宗教学,1313.85,2023-01,儿童故事; 图画故事; 日本; 现代,,本套书共4本：《宇宙空间站的一天》《月球上的一天》《和恐龙生活的一天》《和机器人一起生活》。讲述了4个科学幻想故事，适合4岁以上儿童阅读。1.《宇宙空间站的一天》：本书以一个小学生的日记的形式，记录了他生活在宇宙中的一天。其中，穿插了各式各样有关重力知识的介绍。本书用简单的语言讲解失重条件下物体运动的特点、液体表面张力的作用，加深对质量、重量等基本物理概念的理解。也解答了孩子们对宇航员在宇宙空间站中生活的种种疑问。
9787573611185,它们是怎样建成的：桥梁,"(日) 山田和明, 绘",青岛出版社,2023.6,"丁丁虫, 译",128.00,平装,21 * 30,,,,4,中文,1,科普/百科,土木建筑工程,TU-49,2023-05,桥梁工程; 儿童读物,,道路、桥梁、隧道、高楼大厦是如何建造的呢？这套书的插图严谨细致而又不失趣味，以一个固定的场景为核心，详细地展示了这些常见的工程项目在实施过程中工地及周边区域的点滴变化，并介绍了其中运用到的科学道理和工具设备，既能在一定程度上满足儿童的好奇心，又能进一步激发他们对科学及工程的兴趣。
9787514239461,太喜欢探索了,(意)弗朗切斯卡·马萨,文化发展出版社,2023.5,"(意)马可·费拉里斯,绘;王澎,译",179.80,平装,17*24,,成为小小厨艺师,,3,中文,1,科普/百科,,Z228.1,2023-03,科学知识; 儿童读物,,《太喜欢探索了》系列全四册，包括《成为小小艺术家》《成为小小科学家》《成为小小园艺师》《成为小小厨艺师》，本系列为孩子精心打造，引导孩子与书中的汤米和玛尔塔一起动手动脑，每一个细节、每一个步骤都有精简的文字和可爱的插画，不但让孩子获得全方位的知识储备，更能培养孩子耐心且仔细的工匠精神。本系列中所有的动手过程，充满了挑战性、趣味性、创造性，不仅让孩子有满满的体验感、成就感，还培养了孩子动手解决问题的能力，从而让孩子健康快乐的成长。
9787521726251,奇妙的身体旅行,（英）马克斯·彭伯顿，著,中信出版社,2021.1,（英）克里斯·马登，绘；高琼，译,88.00,精装,25*38,,,,,中文,1,科普/百科,生物学,R32-49,2020-12,身体 少儿读物,,本书是一本少儿科普书，适合6-12岁小读者阅读。想象一下自己可以变小，小到钻进自己的身体，你可以近距离观察自己的眼睛、在血管里玩漂流，与此同时发现自己的身体是如何工作的。职业医生、畅销书作家马克斯·彭伯顿博士通过解剖学向我们展示了人体的奇妙：探索我们每个器官和整个系统是如何运作，为什么我们的身体如此特别。除此以外，博士给出的小贴士还可以告诉你如何通过锻炼让身体变得顶呱呱，好好吃饭，心情愉快。本书包含的主题有：你的身体、不可思议的细胞、设计大师基因、强有力的肌肉、中空的骨头、控制中心（大脑）、神经网络、超级脊柱、神奇的眼睛、听力指挥部、嗅觉中心、咯咯响的牙齿、嘴巴的那些事、不可思议的肝脏、清洁团队、可充气的肺部、重要的心脏、宝贵的血液、深入皮肤、防御系统、皮毛和爪子、美妙的女孩和女人、强壮的男孩和男性、新生命的诞生、词汇表、索引。
9787501620845,挖挖挖，找到远古密码,（意）乔瓦娜·巴尔达萨雷，等著,天天出版社,2023.7,（意）斯特凡诺·托涅蒂，绘；章尹代子，译,59.00,平装,17 * 23,,,,,中文,1,科普/百科,地球科学,K917-49,2023-05,文化遗址; 世界; 少儿读物,,这是一本写给孩子的关于古代文明遗迹如何发现的科普启蒙读物，由专业的考古学家团队编写，深入浅出讲述了什么是考古学、考古学家需要具备哪些方面的知识储备、去哪里寻找并发现文明遗迹、挖掘的东西如何鉴定等孩子感兴趣的话题，并对兵马俑、马丘比丘、庞贝古城、石窟壁画等进行了详细说明。文中也穿插了连线、小测验、涂鸦等游戏环节，帮助孩子更好地理解专业知识，寓教于乐。带领小读者走进考古现场，走进历史，了解世界文化遗产，了解文物的价值。译者是中国人。
9787571329457,无脊椎动物,"西班牙Sol90公司, 编著",江苏凤凰科学技术出版社,2022.10,"张辰亮, 译",40.00,精装,19*26,,国家地理图解万物大百科,,,中文,1,科普/百科,生物学,Q959.1-49,2022-05,无脊椎动物门; 普及读物,,这本知识丰富的图书，它收录了无脊椎动物方方面面的精彩图片和有趣的知识。比如，蚊子只能刺透哺乳动物的皮肤吸它们的血，但苍蝇却可以吃固体食物，因为它们的消化过程在体外就已经开始了；以鸟类和哺乳动物的血液为食的跳蚤既小又没有翅膀，但它们的跳高水平却比任何运动员都要强。本书还会告诉你，哪些虫子是对你有好处的，哪些虫子需要控制或消灭，因为它们会传播像南美锥虫病那样的疾病。只要翻开这本书，精彩的图片和详细的图解就将向你展示这些地球上最小的生命是如何生活、变化、成长和交流的。阅读这本书，你将会惊喜连连、受益无穷！
9787110104989,王朝,"(英)丽莎·里根, 文",科学普及出版社,2023.1,"李颖, 译",150.00,平装,25 * 25,科普版,探秘非洲野犬,,,中文,1,科普/百科,生物学,Q95-49,2022-09,犬科; 少儿读物,,本书是英国广播公司出品的《王朝》纪录片少儿科普5册系列图书，分别以黑猩猩、帝企鹅、狮子、杂色狼、老虎为对象，介绍了它们的基本情况、生活习性等知识。图片清晰生动，语言简练亲切，适合3~6岁儿童阅读。本书文字部分的作者是丽莎·里根，英国出版学硕士，幼儿教育专家，畅销书作家，具有丰富的出版经验。图片来自英国广播公司《王朝》系列节目摄制组，近距离的拍摄让每一张图片都清晰精美。无论从阅读角度还是视觉角度，都能带给读者优质的阅读体验。
9787533964344,超级科学家,（意）费德里克·塔蒂亚，（意）艾丽莎·帕拉齐，著,浙江文艺出版社,2021.4,（意）安东乔纳塔·费拉里，绘；崔鹏飞，译,30.00,平装,17*23,,气候与环境,,,中文,1,中小学课外读物,环境科学技术及资源科学技术（原名为环、保）,Z228.1; X16-49,2021-02,科学知识－儿童读物；气候环境－儿童读物,,“超级科学家”系列是一套专门为7～12岁儿童度身打造的少儿科普读物，曾获2013年度“安徒生国际儿童文学大奖——最佳教育类图书系列”奖项；2019年，该系列顺利入选“40年中国最具影响力400本科学科普书”；2020年，入选“2019年中国童书榜优秀童书”。《气候与环境》一书中共设置了二十九个有趣问题。例如，北极会融化消失吗？什么是胡萝卜冰？如果海洋变暖，鱼儿会出汗吗？地球为什么发烧了？什么是“水炸弹”？北极更冷还是南极更冷？等等。然后，作者通过简单易懂的文字，配合充满童趣的手绘式插图，将这些问题一一解答清楚，领本书既有科普读物的严谨性，又不失童书的趣味性。
9787115617491,那么大！地板书,青葫芦，编绘,人民邮电出版社,2023.6,童趣出版有限公司，编,98.00,精装,29*42,,儿童专注力训练,敦煌大迷宫,1,中文,,科普/百科,体育科学,G898.2,2023-05,智力游戏; 儿童读物,,这是一本关于敦煌知识的科普性专注力训练书，专为3-6岁儿童科学编撰。本书旨在通过以敦煌为主题的迷宫游戏来训练孩子专注力，为他们顺利度过幼小衔接期做准备。为了拓展孩子的知识面，书中融入敦煌相关知识，让孩子边玩迷宫边学习知识。本书作者通过一位热爱敦煌壁画的小女孩在梦里穿越敦煌各个景点和敦煌所处的河西走廊帮助传说中的九色鹿借取能量的故事，让孩子了解敦煌的历史文化以及敦煌的相关小知识，故事环环相扣，通过每一主题领取不同的游戏任务完成迷宫闯关。书中根据不同故事主题设置了不同的迷宫障碍和路线，引导孩子边玩迷宫边学习知识。为了进一步提升孩子专注力，设计了多个找找看游戏，每个找找物件巧妙地融入迷宫场景中。大开本设计的图书，让孩子尽情徜徉在知识的海洋中，这不仅是一本专注力训练游戏书，还是一本敦煌科普书，帮助孩子了解历史文化，拓展知识面。
9787521752410,花儿懂得相亲相爱吗？,（法）塞巴斯蒂安·佩雷斯，著,中信出版社,2023.4,（法）安妮洛尔·帕罗，绘；刘牧青，译,59.00,平装,17*21,,植物会拉💩吗？,,1,中文,,科普/百科,生物学,Q94-49,2023-02,植物－儿童读物,,这是一套适合3—8岁孩子阅读的植物科普绘本，共4册，分别是《植物会拉💩吗？》、《花儿懂得相亲相爱吗？》、《野草也是有用的吗？》和《植物能生小宝宝吗？》。书中通过两位主角，小男孩巴奇尔和卡洛特婆婆的对话，一问一答，讲述了一些有趣的植物学知识。比如，植物拉的💩是什么样子的？为什么可以找到动物的粪便，却找不到植物的呢？这些问题看似平常，却耐人寻味。小读者跟随巴奇尔的视角一起去提问，去探索答案，激发孩子对大自然的兴趣。
9787520212502,DK学前儿童为什么小百科,"英国DK公司, 编",中国大百科全书出版社,2023.3,"王轶涵, 译",128.00,精装,22*28,,,地理,1,中文,,科普/百科,地球科学,Z228.1; K91-49,2022-12,科学知识; 儿童读物; 地理; 世界; 儿童读物,,《DK学前儿童为什么小百科 地理》是英国DK公司推出的一本面向3-6岁儿童的地理百科，图书定位是科普桥梁书，旨在让孩子从绘本阅读过渡到文字和科普阅读，提高孩子的阅读能力。书中介绍了我们的星球、地球表面、蓝色星球、直上云霄、活在地球，其5个方面的知识，搜集了孩子关心的200多个关于地理的有趣小问题，是孩子认识世界、认识地理的启蒙书籍，锻炼孩子自我学习和科普认知能力，为孩子上学学习和适应课堂教学环境做准备。
9787121447143,万万没想到,（西）索莱达·罗梅罗，著,电子工业出版社,2023.2,（西）蒙斯·加尔巴尼，绘；白雪，译,59.00,精装,25 * 31,那些歪打正着的发明,,,,中文,1,科普/百科,,N19-49,2022-12,创造发明; 少儿读物,,人类历史上有许多发现和发明都是源于人们的失误或误判。这本书就介绍了咖啡、烟花、香槟、橡皮、电池、火柴、薯片、万能胶、魔术贴等18个有趣且有意义的意外而来的发明。有的时候，一个错误可以挽救数百万人的生命，如青霉素的发明。还有的时候，失败也会带来意想不到的创造，让我们的生活更舒适和幸福，如火柴和法式苹果派的出现。所以，没有必要害怕犯错误。错误是最伟大的老师之一，它时刻准备着为我们指明一条通往成功的道路。
9787521752960,地球上的爆笑历史,（英）迈克·巴菲尔德，著,中信出版社,2023.5,（英）杰丝·布拉德利，绘；满易，译,78.00,平装,22 * 28,洞穴人、航海和奇妙万物的一天,,,,中文,1,科普/百科,历史学,K109,2023-02,世界史; 通俗读物,,《地球上的爆笑历史：洞穴人、航海和奇妙万物的一天》，少儿科普漫画，适读年龄5-10岁。本书描绘了早期人类生活中的一天，他们在洞穴的墙上画上猛犸象，角斗士在斗兽场中激烈战斗，第一位进入太空的女性……读者还可以发现著名建筑背后的故事，包括中国的长城和莎士比亚的环球剧院，还能深入了解维京人的秘密日记，牛顿的猫，以及最终成就了蒙娜丽莎的微笑的画板。《地球上的爆笑历史：洞穴人、航海和奇妙万物的一天》用漫画的形式带领读者遨游人类历史长河。这本书稿内容分为三个部分：古代史、中世纪和现代史。每部分又分为漫画、知识拓展、秘密日记和新闻速递，进一步补充资讯、历史八卦与内幕。主角设定有趣（可能是一只罐子，也可能是一朵山茶花，或者一只轮子，甚至一把胡子）又不脱离史实，插图卡通可爱，同时未尾还有术语表。书籍采用了一种与众不同的方式，用一天的发生的事情，带领读者来了一场历史之旅。
9787558332197,眼界大开幼儿小百科,（美）亚历克斯·法布里奇奥，著,新世纪出版社,2022.5,（美）凯特·乌诺，绘；邢培健，译,14.80,精装,14*21,,,玩转几何学,1,中文,,科普/百科,教育学,G613.3,2022-02,科学知识; 学前教育; 教学参考资料,,本书是一套为2-4岁幼儿打造的低幼科普图书，共10册。全系列围绕建筑、音乐、几何、化学、航天、经济、地理、财商、榜样等10个主题，结合通俗易懂的表达、温暖明亮的画风以及丰富多样的互动形式，为幼儿讲解科普知识，帮助幼儿初步认知外部世界，感知世界，培养良好的习惯，树立正确的榜样。全书是一套多功能的低幼科普读物，融合了当前低幼童书较受欢迎的版式设计，配以活泼可爱的人物形象，能帮助家长与孩子进行亲密地互动，增强阅读的趣味性。
9787530775448,DK动物竞技大百科,"英国DK公司, 编著",新蕾出版社,2023.3,"王梓骅, 陈冠宇, 译",168.00,精装,17 * 26,哪种动物更厉害,,,,中文,1,科普/百科,生物学,Q95-49,2023-02,动物; 少儿读物,,这是一本具有竞技特点的动物科普百科全书。它为孩子们呈现了一个完整而独特的动物世界，500多幅高清、精美的照片，按照动物的分类，从哺乳动物、鸟类、爬行动物、两栖动物、鱼类和无脊椎动物几个方面，展示了动物的特征、生活习性、身体构造等知识，更通过“哪种动物更厉害”的竞技对比，体现了不同动物在“战斗”时的习性和特点，带领孩子一同踏上探索动物的精彩旅程，教会他们与动物做朋友，与自然和谐相处，才是人类长久的生存之道。
9787573010322,我不想再撒谎了,(美)马克·布朗(Marc Brown)，著,海南出版社,2023.4,朱运致，译,168.00,平装,19*26,,儿童逆商培养绘本超乐观的亚瑟,,,中文,1,绘本,文学,1712.85,2023-02,儿童故事; 图画故事; 美国; 现代,,全书讲述了八岁孩子亚瑟的学校和家庭生活，包含守信、诚实、礼貌、合作、勇敢等多项正面教育，助力孩子培养健全人格。三年级开学第一天，大家都在讨论分班的事情。亚瑟和朋友们被分到了严格的拉特本老师的班级。新加入的学生玛菲，和辛辛成了最好的朋友。一次数学考试，玛菲一股脑儿抄了辛辛的所有答案。两人被叫到办公室时，玛菲拉托说自己没有作弊。于是拉特本老师罚“作弊”的辛辛放学后打扫卫生。可是，即将有一场很重要的棒球比赛，棒球队少了辛辛根本打不赢。玛菲主动找老师坦白真相。作为作弊的惩罚，玛菲下周也要擦黑板。朋友们邀请玛菲当棒球队的记分员。
9787573902276,生活中的数学真有趣，有趣就会有兴趣：问题真奇妙,"(英)史蒂夫·威,(英)菲利希亚·洛,著",浙江科学技术出版社,2022.9,"(英)马克·比奇,绘;美国兰登书屋,组",269.90,平装,24*24,,问题真奇妙,,,中文,1,科普/百科,,O1-49,2022-08,数学; 儿童读物,,本书引进英国版权，共有10册，分别是：大小真有趣，加法乘法真有趣，减法真有趣，除法真有趣，形状真神奇，测量真好玩，方向真神奇，分数真有趣，问题真奇妙，数数真有趣。书中内容不仅仅是数学知识，还涉及天文、地理、历史、物理、生物等知识，例如计量温度时涉及宇宙知识，讲距离测量时涉及地理历史知识，讲解大小时涉及生物知识，测量重量时涉及历史知识和文化知识等。作者在讲解科普知识的时候，将其中的数学知识提炼出来，让儿童知道数学来源于生活，不能与生活实际相脱离，增强儿童对数学的兴趣。本书供5-8岁儿童亲子阅读，8-12岁学生自主阅读。
9787520210751,昆虫极限,"英国DK公司, 编著",中国大百科全书出版社,2022.4,"麦秋林, 译",168.00,精装,26 * 31,,DK儿童极限百科全书,,,中文,1,科普/百科,生物学,Q96-49,2022-01,昆虫; 儿童读物,,《DK儿童极限百科全书——昆虫极限》是英国DK公司2016年推出的儿童极限百科全书系列中的一本。本书将讳莫如深的昆虫世界放大开来，向读者展示这个星球上数量最多、最非同凡响的生物。书中汇总了上百种与我们朝夕相处或难得一见的昆虫，图文结合为小读者讲述它们奇异的外貌和在各种极端环境下所承受的生理极限；小图表为小读者展示昆虫那些令人称奇的身体构造和生存能力；高清跨页大图让小读者可以近距离地观察昆虫王国中的那些最有趣的小生物，给小读者营造一个身临其境的氛围。
9787556429110,电磁奇观,"(德)奥陶·鲁尔斯,著",湖北教育出版社,2019.10,"(德)埃内尔·弗里格尔,等绘;高建中,译",22.80,平装,19*26,,什么是什么,,1,中文,1,科普/百科,物理学,O441-49,2019-07,电磁学; 青少年读物,,《电磁奇观》这本书为孩子们介绍了人类早已认识的自然界中的磁，围绕电和磁之间的关系，很多技术设备，如发电机、电动机、电话和电视等的电磁原理，回答了很多有关磁的有趣的问题，并鼓励读者尝试着去认识和利用磁。《电磁奇观》是《什么是什么》系列中的一册。《什么是什么》丛书内容丰富、门类齐全，内容涉及自然、地理、动物、植物、天文、地质、科技、历史、考古、艺术和人文等多个领域。通过丰富而精美的图片、有趣的知识和青少年能够理解的语言来解释复杂的科学现象。本套书主要有以下几个特点：内容的可读性、条目的可读性、知识的新颖性和方便的检索性。
9787544872782,海边的宝藏,"(日) 浜口哲一, 著",接力出版社,2021.8,"(日) 松冈达英, 绘; 田秀娟, 译",245.00,平装,19*25,,大科学之友经典科普书,,,中文,1,科普/百科,宗教学,1313.85,2021-07,儿童故事; 图画故事; 日本; 现代,,大科学之友经典科普书：如果来到天空之上包括七册书：《雪花的秘密》讲述了雪花的诞生故事，以及雪的形状为什么像六边形的秘密。《随随便便研究所》带我们走进“概率”的神秘世界。《美术馆大揭秘》让我们了解到展览是如何开始的，绘画、雕塑和其他艺术品是如何运输和展示的，以及各种美术馆员工的工作内容。《森林里的幕后英雄》以通俗易懂的方式介绍森林形成的复杂机理。《野生动物大作战》分析了野生动物闯入人家的原因，思考了人和动物和谐相处的方法。《如果来到天空之上》讲解了天空中的各种气体在地球气候中起到的重要作用。《海边的宝藏》通过追溯沙滩上散落的各种物品的来源，发现了海岸与意想不到的地方连在一起。这套书用多样的主题和精细的创作，传达科学的思考和事实，并做了丰富的延展，深挖出更多相关的文化、故事、人物、情感，让孩子们看到生活的无限可能性。
9787571013103,时间简史,"(英)史蒂芬·霍金(Stephen Hawking),(英)罗杰·彭罗斯(Roger Penrose)",湖南科学技术出版社,2022.4,"杨杉, 译",98.00,平装,17*22,儿童版,,,,中文,1,科普/百科,天文学,P19-49,2021-11,"时间, 儿童读物",,如果一个人掉进黑洞会怎么样？这个在生日聚会上被问起的问题使得作者开始创作“乔治的宇宙”系列，其中《秘密钥匙》中，安妮的爸爸、科学家埃里克为孩子们写了一本书，名为《宇宙用户指南》。这本书将告诉孩子们很多宇宙知识，有关大爆炸、黑洞、时间旅行等。书中还收集了一些科学家的精彩论文和科学事实事实，并添加了一些我一直想要加进来的令人惊喜的新内容，例如遗传学、平行宇宙以及关于黑洞的新论文。这是一本少年版的《时间简史》，适合孩子的科学启蒙。
9787511059314,动物了不起,"(法) 伊曼纽·沙尼, (法) 安德烈·博斯, 著",海豚出版社,2022.5,"(法) 伊夫·加莱尔努, (法) 西尔万·弗雷孔",98.00,精装,21 * 25,,,,,中文,1,科普/百科,生物学,Q95-49,2022-03,动物; 儿童读物,,《动物了不起》是一套适合3-6岁儿童阅读的动物科普百科书。书中用亲切可爱的动物形象、幽默有趣的方式描述关于动物的冷知识。该书文字内容浅显易懂，贴近孩子的认知水平。此外，该书中的插图诙谐幽默，符合孩子的审美趣味。书中带有逼真的插图的故事，用讲述故事的口吻讲述动物在其环境中的生活方式（狩猎，繁殖，生存……）。搭配测验，谜语，游戏等环节，以有趣有趣的方式揭示动物的秘密。当然你还会看到有关生态系统方面的巨大而精美逼真的插画：大草原，山脉，海洋，河流，热带森林，浮冰，等等。千奇百怪的动物秘密在等待你来探索。
9787520211147,DK这不可能是真的：黏糊糊,英国DK公司，编,中国大百科全书出版社,2022.7,杜倩，译,158.00,精装,22 *28,,黏糊糊,,1,中文,,科普/百科,,Z228.1,2022-04,科学知识－儿童读物,,DK这不可能是真的是由DK儿童奇趣百科全书系列延伸出来的一套全新的系列丛书。这本《DK这不可能是真的·黏糊糊》可算是有关黏糊糊物质的终极指南。从黏糊糊的鼻涕、滑腻腻的蜗牛黏液，到黏性超强的胶水、巨大的“油脂山”，本书以各种各样“不那么卫生”的黏糊物质为主题，带领小读者畅游奇特的黏糊糊世界并探索“黏糊糊”的科学。本书以独特的选题，牢牢地抓住了小读者的兴趣点和注意力，让他们越看越起鸡皮疙瘩，但又停不下来，充分满足了他们的求知欲。
9787535694256,金色童书·动物科普绘本,"(美)黛安娜·穆尔德罗(Diane Muldrow),著",湖南美术出版社,2021.6,"(美)戴维·沃克(David Walker),绘",69.00,精装,17*21,长颈鹿是怎么午睡的呀？,,,1,中文,1,绘本,文学,I712.85,2021-02,儿童故事; 图画故事; 美国; 现代,亲近母语中国儿童分级阅读书目（0-12岁）,《金色童书·动物启蒙绘本系列》是一套关于动物的儿童启蒙绘本。这套书以可爱的画风和俏皮、亲切的语言、简单的文字，通过对动物的一些习性的描述，引导小朋友了解表达亲昵、玩耍和午睡的方式，兼具知识性与趣味性。全书分为三册，分别是《企鹅是怎么玩儿的呀？》《狮子是怎么说我爱你的呀？》《长颈鹿是怎么午睡的呀？》。本书《长颈鹿是怎么午睡的呀？》讲的是如小狗、海豚、猎豹、长颈鹿等各种动物不同的睡觉（冬眠）的方式。
9787522600369,疯狂科学,"(英)格伦·墨菲,著",中国水利水电出版社,2021.11,"(英)迈克·菲利普斯,绘;房宇华,译",42.00,平装,15 * 21,,机器人驾到,,1,中文,1,科普/百科,信息与系统科学相关工程与技术,Z228.2; TP242-49,2021-10,科学知识; 青少年读物; 机器人; 青少年读物,,这是一本以科技为主题的科普读物，适合少年儿童阅读，书中分为电脑为什么如此重要，信号、电码和智能手机，电子娱乐，信息网络和数字世界，机器人和人工智能，走向未来六章。在人们发明电话之前，大家是怎样交流的？怎么才能把一万首歌塞进一个袖珍音乐播放器里？互联网到底是什么？机器人会取代人类吗？书中有100多个轻松烧脑的科技问答，关于科技的奥秘通通可以在这里找到答案。检索式阅读，翻到哪里都可以阅读。颠覆传统的科普讲解方式，体验跟作者斗嘴的乐趣，阅读绝不无聊。让孩子疯狂爱上科学。
9787020164097,称霸地球的恐龙,日本朝日新闻出版，著,人民文学出版社,2021.12,贺璐婷，等译,300.00,平装,15 * 21,46亿年的奇迹,,,1,中文,,科普/百科,地球科学,Q915.864-49,2021-11,恐龙; 普及读物,,这是一本普及读物，按照时间轴讲述了：中生代时期恐龙在地球上出现、哺乳动物诞生、侏罗纪后期恐龙逐渐繁荣并成为地球霸主、大西洋诞生、原始鸟出现、被子植物出现、霸王龙出现以及随着小行星撞击地球恐龙最终迎来毁灭等地球历史的重要节点。本书以图文结合的方式精彩地呈现了恐龙和各种爬行动物的出现而给地球带来的种种影响。恐龙在激烈的竞争环境中也逐渐多样化，并主宰了这个时期的地球生态。同时，大陆分裂和海侵现象促使这个时期的地球环境发生了巨大的变化，最终形成了地球现在样貌的雏形。
9787520207874,穿越时空的尼罗河,"英国DK公司, 编著",中国大百科全书出版社,2020.8,"杜倩, 应世澄, 译",298.00,精装,35 * 27,,DK儿童穿越时空百科全书,,1,中文,,科普/百科,地球科学,K941.04-49,2020-07,尼罗河流域; 儿童读物,,《穿越时空的尼罗河》讲述了尼罗河的时代变迁。尼罗河是世界上最长的河流。它流经非洲壮观的峡谷、湍急的瀑布、温润的热带雨林、广阔的沼泽、干旱的荒漠、巨大的人工湖和富庶的平原。尼罗河孕育了古埃及文明，见证了许多统治者、宗教和帝国的兴衰。在这次沿尼罗河的旅程中，你将看到沿岸高大的神庙、教堂、清真寺、金字塔和城堡，还能看到繁忙的市镇和热闹的港口。你不但能感受居民、士兵和农夫的日常生活，而且还将见证胡夫法老的葬礼、麦罗埃王国的接见仪式、古希腊人的暴乱等激动人心的事件。除此之外，还能对生活在尼罗河沿岸的动物有更多了解。跟着我们的神奇鹈鹕，一起出发吧！
9787500096337,大卡车,"英国DK公司, 编",中国大百科全书出版社,2016.1,"杜倩, 译",360.00,精装,15 * 23,,DK儿童目击者,,1,中文,,科普/百科,交通运输工程,U469.2-49,2015-10,载重汽车; 儿童读物,,《DK儿童目击者》丛书是一套儿童类分级读物。该书图文并茂，色彩绚丽，精美绝伦，将生动的图画和引人入胜的故事完美地结合起来。这本《大卡车》告诉读者的是，在书中介绍了各种各样的卡车，包括从压路机到轮式装载机的所有形状和大小的卡车。
9787520210416,DK视觉大百科,"英国DK公司, 编著",中国大百科全书出版社,2022.2,"张劲硕, 吴海峰, 寇文, 李霓, 齐东峰, 郑...",258.00,精装,26 * 31,,,,,中文,1,科普/百科,,Z228.1,2021-09,科学知识; 儿童读物,,《DK视觉大百科》是一本突出视觉效果的儿童综合百科全书。本书围绕自然、人体、科技、太空、地球、人类社会、历史和文化艺术8个章节，为读者介绍具有视觉冲击力事物的相关内容，通过丰富精美的图片和清晰简洁的文字表达出有趣的内容，让读者在愉快的阅读过程中轻松记忆知识点，并且留下深刻的阅读印象。本书编辑理念新颖，内容结构清晰，知识量大，图片震撼，用图说话。每一个章节下面的每一个对页都拥有一个主题，仿佛一堂堂生动的科普知识课程。
9787553522036,巴别塔的记忆,(法)克丽丝黛尔·达博丝,上海文化出版社,2021.12,"于晓悠, 译",76.80,平装,18 * 26,穿镜人,,,1,中文,1,儿童文学,,I565.45,2021-01,长篇小说; 法国; 现代,,长篇小说。离开极地已经两年零七个月了，奥菲丽在阿尼玛悬岛上度日如年。今天，她必须采取行动，利用她从法鲁克的书中学到的东西和上帝提供的信息。在一个虚假的身份下，奥菲利进入了巴别塔，她独特的阅读物品的能力是否足以克服日益强大的对手的陷阱？她能找到托恩吗……
