ISBN,正书名,作者,出版单位,出版时间,其他责任者,定价(元),装帧方式,开本或尺寸,副书名及说明文字,丛书名,分册名,分册号,正文语种,版次,市场分类,学科分类,中图法分类,CIP核发时间,主题词,入选书单,内容摘要
9787545608762,郑和下西洋,"(明)罗懋登,原著",贵州教育出版社,2015.10,"华一书局,改写；陈士侯,绘",46.00,平装,20 * 29,,写给儿童的通俗文学,,1,中文,1,儿童文学,文学,I242.4,2015-09,章回小说; 中国; 明代,,这是一本写给儿童的《郑和下西洋》，以简洁有趣的文字讲述郑和下西洋期间发生的故事，以精美的插图及历史般的场景、栩栩如生的人物刻画，培养孩子们的文学胃口，使他们获得丰富的艺术滋养和博大的人生智慧。适合少儿阅读。
9787221125286,莫扎特问题之谜,"(英)莫波格,著",贵州人民出版社,2016.3,"(英)福尔曼,绘;杨华京,译",17.00,平装,19*16,,,,,中文,1,儿童文学,,I561.84,2015-05,儿童文学; 短篇小说; 英国; 现代,,英国桂冠作家麦克·莫波格的少年小说。初出茅庐的小记者莱丝丽被派往威尼斯去采访一名世界闻名的小提琴家，在出发前，莱丝丽被告知不能向这位著名的小提琴家保罗·列维先生询问他的私生活以及他的音乐家生涯，最为要紧的是，她不能向他追问莫扎特问题。
9787121327995,太空少年,(澳)坎迪丝·莱蒙-斯科特,电子工业出版社,2018.1,(澳)塞莱斯特·休姆,120.00,平装,13*19,月球反恐行动,,,,中文,1,儿童文学,文学,I611.84,2017-09,儿童小说; 科学幻想小说; 澳大利亚; 现代,,这是一套很精彩的适合低年龄段儿童阅读的科幻小说。故事情节跌宕起伏，节奏轻快，加上环环相扣的悬念设置，故事进展时刻牵动读者神经。作者以科学理论和天文知识为依托展开想象，通过描写5个来自不同星球的小主人公在未来的太阳系中的一次次历险，使小读者在阅读过程中既能获得天马行空的阅读乐趣，也能收获有实用价值的科学知识，还能培养孩子们温暖、勇敢、乐观、坚韧、团结合作等品质。
9787122188205,你为何如此忧伤,"(美)安德鲁斯(Andrews,B.),著",化学工业出版社,2014.2,"(美)王,绘;赵丹,译",12.80,平装,16~29,教孩子如何对待抑郁的父母,儿童情绪管理与性格培养绘本,,,中文,1,绘本,文学,1712.85,2013-10,儿童文学; 图画故事; 美国; 现代,,每年，美国有15%的成年人受到抑郁症的困扰，这给他们带来了非常痛苦的经历。父母的情绪会给孩子带来很大的影响。如果父母得了抑郁症，那么他们所受到的困扰和痛苦同样会影响到他们的孩子，他们可能会变得害怕、孤独、焦虑、愤怒或者难过。然而，和成人不同的是，他们通常不善于理解和表达自己的情绪。尤其是在父母已经深陷痛苦之中时，他们因为害怕加重父母的心理压力，因此更加难以表达自己的情绪。当父母得了抑郁症时，孩子往往会感到难过和困惑。这本书以互动的方式为孩子提供下列帮助：用孩子的语言向他们解释什么是抑郁症以及它的治疗方法；告诉孩子们他们的父母能够恢复健康；探讨孩子经常会有的情绪；帮助孩子理解和表达他们的情绪；为孩子面对父母的抑郁提供实用性的建议；告诉孩子怎样做才能改善心情。
9787544862387,城堡,"(英)凯特·伊顿,著",接力出版社,2019.11,"(以)阿维埃尔·贝兹尔,绘;余琛琛,译",26.80,平装,22*29,孤独星球,孤独星球,,,中文,1,手工/游戏,体育科学,G898.2,2019-08,智力游戏; 少儿读物,,《城堡》这本书紧密围绕“城堡”这个主题，带小读者开启一场充满创意、好玩有趣的城堡之旅，在探险的过程中，读者将了解城堡里的每一个组成部分的特点，包括骑士铠甲的各个组成部分、城堡护城河的作用、骑士比武的规则等一系列有意思的话题，并完成各种有意思的贴纸创作和益智游戏。
9787544860550,发现巴塞罗那,"(英)莫伊拉·巴特菲尔德,著",接力出版社,2019.6,"(英)路易丝·加德纳,绘;卢智颖,译",36.00,平装,22*22,,孤独星球,,,中文,1,科普/百科,地球科学,K955.15-49,2019-04,巴塞罗那; 概况; 少儿读物,,本套书是专门为孩子打造的城市旅行科普读物，这套书图文并茂，照片精美，插画生动，语言风趣幽默。每本书都按不同的城市主题游览路线展开，如历史、美食、艺术、竞技、建筑、交通等，从不同角度展现了巴黎、伦敦、纽约、东京、悉尼、华盛顿等世界名城的历史故事、风土人情、传统文化、名人趣事、美食美景、奇闻异事等各个方面，让读者真正走进一座城市，带给读者与众不同的城市旅行、探索体验。本书用16条主题路线向读者展现了一个地道而又与众不同的巴塞罗那。在这本书里，除了玩遍巴塞罗那，你还能读到很多有趣的故事。
9787513826921,司马迁,郝亚威,华语教学出版社,2024.12,"锄豆文化, 绘",29.80,平装,15*21,,写给孩子的名人小传,,,中文,1,课外读物,历史学,K825.81-49,2024-11,司马迁(约前145或前135~?); 传记; 少儿读物,,本套书精选了屈原、司马迁、岳飞、成吉思汗、秦始皇五位中国历史名人，以时间为序，用浅显易懂的语言，记叙了他们在不同领域取得的卓越成就及跌宕起伏的一生。本册讲述遭受非人打击后，凭借惊人的毅力发奋著书的司马迁。为了方便低年龄段的学生阅读，整套书都加注了拼音，书中还设有适合小学生阅读的知识拓展，并辅以趣味十足的精美插图，是一套能让小学生树立志向、开阔视野、提高修养、学习写作的名人励志书系。
9787573603043,睡眠的科学,（英）希瑟·达沃尔-史密斯,青岛出版社,2023.1,张若瑾，译,98.00,精装,18 * 23,,,,,中文,1,百科知识,生物学,R338.63-49,2022-06,睡眠; 普及读物,,本书是DK出品的睡眠知识百科。作者结合科学研究、临床经验，创造了一种独特的视觉方法来解释构成人类睡眠习惯的相关因素，解答大众对睡眠的各种困惑，帮助读者深入了解睡眠，解决各种睡眠问题。
9787545568714,西南联大汉语课,"罗常培, 等著",天地出版社,2025.5,,42.00,平装,17*23,青少版,,,1,中文,1,语言文字,语言学,H1-49,2025-04,汉语; 青少年读物,,《西南联大汉语课（青少版）》精心收录了罗常培、唐兰、朱自清、张清常、王力、陈梦家六位曾任教于西南联大的名家的文章与讲义，旨在帮助青少年读者深入理解汉字的起源与演变，以及汉语的语音、词汇、句法、篇章等核心知识。通过阅读本书，广大青少年读者不仅能够提升汉语阅读和写作能力，更能深刻体会到汉语背后所承载的中国数千年的历史与深厚的文化底蕴，感受中华文化的博大精深与独特魅力，从而更加热爱并传承这一宝贵的文化遗产。
9787558580932,跟着课本游中国,"日知图书, 编著",北方妇女儿童出版社,2024.2,,34.00,精装,21*17,,少年游学,,,中文,1,科普/百科,地球科学,P942-49,2023-12,自然地理; 中国; 青少年读物,,本书结合语文课本、地理课本、历史课本中的知识，将课本知识融入各大城市。这里有苏州、杭州、丽江等风景如画的旅行城市，也有北京、西安、安阳等历史古都，更有重庆、桂林等地质地貌特殊的景观之都。真正实现了帮助小读者在游中学、在学中游的目的。全书采用美文与知识相结合的形式，帮助读者在美景中感悟文学家为何会写下那些优美的词句，潜移默化地学到地理、历史相关的百科知识。在鼓楼上学习一城一池的深厚历史，在山顶俯瞰教科书上提到的地形地貌，知识不再只是课本上冷冰冰的文字，而是清脆的鸟鸣，幽幽的花香和五彩斑斓、绚丽无比的山河美景。
9787221168900,在人体中游览,"(美)乔安娜·柯尔, 文",贵州人民出版社,2022.4,"(美)布鲁斯·迪根, 图; 蒲公英童书馆, 译",16.50,平装,25*21,,神奇校车：拼音版,,,中文,1,儿童文学,生物学,R32-49,2021-12,人体; 儿童读物,,一个古怪热情的老师（卷毛老师），带着八个性格各异却好奇心旺盛的孩子，开着一辆可以随时变形的校车，上天入地。故事情节引人入胜堪比科幻小说，对话诙谐而又机智俏皮，知识像景点一样散落各处，星罗密布，星罗密布的吸引力。孩子们对科学的兴趣和求知欲以澎湃之势感染着每位读者，而卷毛老师放手让孩子们去探索，只偶尔启发和补充的学习方式，让人羡慕甚至动容。讲述的过程中，小主人公们的性格特征也一点点凸显出来。这一次，神奇校车带领孩子们钻进人体，从消化系统开始，一直随着红细胞来到心脏，仔细介绍了人类各个身体器官的工作原理和功能，最后，借着打一个大喷嚏又回到现实世界。
9787554827116,这才是雅典,"Wolledge, 著绘",广东教育出版社,2019.10,,98.00,平装,19 * 26,跟着Wolly游世界：答题闯关精装版,跟着Wolly游世界：答题闯关精装版,,,中文,1,科普/百科,地球科学,K954.55-49,2019-01,雅典; 概况; 少儿读物,,本书以世界著名的8个城市为线索，通过幽默风趣的语言，全手绘的插画风格，生动详实地解读了世界名城中的文化底蕴和历史背景，让读者身临其境地感受每座城市的独特魅力，领略人类文明的历程，同时开阔眼界，培养对历史、建筑、艺术、科学等方面的兴趣。
9787553414980,古希腊演说辞全集,"(古希腊)安多基德斯,著",吉林出版集团有限责任公司,2013.1,"刘训练,主编；徐朗,译",85.00,精装,24 *17,,安多基德斯卷,,,中文,1,西方哲学,,1545.62,2014-12,演讲; 古希腊; 选集,,他承认与公元前415年毁坏赫尔墨斯(Herms)神像，亵渎埃莱乌西斯秘仪有关。公元前411年及公元前410年他试图返回雅典，未果；公元前399年大赦使他得以恢复公民权。公元前391年，他作为使节之一被派往斯巴达以求科林斯战争达成和约，但其中的一些条款遭到雅典人反对，遂被流放。本书收集了他的三篇传世演说辞有《论重返雅典》、《论秘仪》及《论和平》。
9787519759551,漫画民法典,"向君, 岳佳, 编绘",法律出版社,2021.12,,60.00,平装,19 * 21,,七彩漫画民法典丛书,侵权责任编,1,中文,1,法律普及读物,环境科学技术及资源科学技术,D923-49; D923.7-49,2021-09,民法; 法典; 中国; 通俗读物; 侵权法; 中国; 通俗读物,,本书是甘肃政法大学《漫画民法典》系列漫画之一，本书以民法典侵权责任编为框架，以漫画形式对民法典侵权责任编重点法学理论、法条规定进行讲解剖析。用图文并茂的形式，把法律知识详细解读，所配插图不但生动形象，还融入时尚元素，风趣幽默，在辅助理解的基础上，大大增强了可读性，真正做到了人民群众喜欢看、看得懂、看完能用，切实增强了普法工作的针对性和实效性，从而达到了不断提升全体公民法治意识和法治素养的目的。本书分为一般规定、法定继承、遗嘱继承和遗赠、遗产的处理四个章节。
9787122340320,不要说别人的闲话,(美) 弗兰克·J. 希洛 (Frank J. Sileo),化学工业出版社,2019.8,(美) 詹妮弗·若芙茵 (Jennifer Zivoin),19.80,平装,21*26,学会应对闲话的困扰,儿童情绪管理与性格培养绘本,,,中文,1,绘本,文学,I712.85,2019-03,儿童故事; 图画故事; 美国; 现代,,说闲话通常是一种天性，是典型的人类行为，很多次，还没来得及多想就已经做了。儿童可能因为很多种原因说闲话，比如引起关注、获得接纳、感觉无聊等，但是往往没有意识到闲话给人带来的心理伤害。有时候闲话会变成霸凌，引发冲突。本书就探讨了闲话给孩子带来的困扰和伤害，引导孩子不说闲话，学会尊重他人的隐私。
9787122195081,孤单的浴缸,"(美)拉斯马森(Rasmussen,A.),著",化学工业出版社,2014.5,"(美)弗拉纳根(Flanagan,K.),绘;苏海涛,译",12.80,平装,16*29,,儿童情绪管理与性格培养绘本,,,中文,1,绘本,文学,1712.85,2014-01,儿童文学; 图画故事; 美国; 现代,,克劳迪娅的浴缸有一颗大大的心。它一直渴望着孩子们能在他里面戏水、玩耍。当克劳迪娅在浴缸里一眼挑中他时，他高兴极了！自从他来到克劳迪娅的家，每天晚上她都玩着不同的洗澡大冒险游戏，和鲸鱼王子游泳，或是坐火箭去月球。但是一天，克劳迪娅突然决定不再爱洗澡了。并且她真的不肯再洗澡了。随着时间一天天过去，可怜的浴缸变得又空又干，它那颗大大的心也越来越孤单……《孤单的浴缸》以一种机智、奇特的视角来看待绝大多数家长都会遇到的孩子的固执，尽管形式各异，但在孩子们追寻自我独立时，固执是非常普遍的。
9787576243536,名扬四海的中国瓷器,"姜蔚,文",江西高校出版社,2024.2,"肖诗颖,符鲜,图",19.80,平装,24*23,,科学真有趣,,1,中文,,科普/百科,艺术学,J527-49,2023-12,陶瓷艺术; 工艺美术史; 中国; 儿童读物,,本套丛书是面向3-6岁儿童的低幼科普绘本。丛书共分为6册，分册名为：《神奇的造纸术》《伟大的印刷术》《威震四方的火药术》《让出行便捷的指南针》《走向世界的丝绸》《名扬四海的中国瓷器》。每分册讲述一项中国传统发明，故事语言生动幽默，插画古朴温馨，让彼时辉煌的中国古代大发明及其发明过程跃然纸上，同时也让每一位读者在学习科普知识的同时，领略我国古代人民的智慧结晶及其对世界各国人民产生的积极影响！本分册讲述了瓷器的产生和发明过程，各类瓷器如何影响人们的日常生活，中国的瓷器如何走出国门，对世界产生积极影响等。
9787807731344,勇敢的克兰西,"(澳)拉切·休谟, 著",三环出版社（海南）有限公司,2024.3,"赵静, 译",42.00,精装,21*28,,,,,中文,1,绘本,文学,I611.85,2024-03,儿童故事; 图画故事; 澳大利亚; 现代,,小牛克兰西一出生就跟伙伴们不一样，他是一头腰上没有白色条纹的白腰牛！在大家眼里，他成了“另类”，这也让他自己特别烦恼。为了“长”出“白条”，克兰西可真是绞尽脑汁，可他始终没能成功，真没办法！不过，出人意料的，在漆黑的夜晚，没有白条却帮助克兰西偷偷溜进了红背牛独占的丰美牧场！他在那里放开了肚皮，把丰茂的牧草吃了个够，于是便越长越壮，还成了白腰牛群的大英雄……在生活中，差异同样存在着。怎样看待自己跟别人的不同？怎样与跟自己不同的人相处？孩子们也会遇到类似的问题。本书会告诉小读者，跟别人不一样真的不一定是什么坏事情，只要敞开胸怀，就会跟大家建立真诚的友谊，就会从中得到快乐的生活、快乐的成长。
9787513826952,李白,郑亚威,华语教学出版社,2024.12,"锄豆文化, 绘",29.80,平装,15 * 21,,写给孩子的名人小传,,,中文,1,课外读物,历史学,K825.6-49,2024-11,李白(701; 762); 传记; 少儿读物,,本套书精选了孔子、孟子、李白、苏轼、杜甫五位中国历史文化名人，以时间为序，用浅显易懂的语言，记叙了他们在不同领域取得的卓越成就及跌宕起伏的一生。本册讲述诗情傲盛唐，在成功与失败间游走的李白。为了方便低年龄段的学生阅读，整套书都加注了拼音，书中还设有适合小学生阅读的知识拓展，并辅以趣味十足的精美插图，是一套能让小学生树立志向、开阔视野、提高修养、学习写作的名人励志书系。
9787807740643,白细胞之决战病毒,"宁理, 陈励, 主编",深圳报业集团出版社,2023.6,,45.00,平装,21 * 26,,神奇血液科普系列绘本,,,中文,1,绘本,基础医学,R322.2-49,2023-05,白细胞; 青少年读物,,《神奇血液科普系列绘本》包含《神奇血细胞家族》《红细胞之爱的供氧》《白细胞之爱的守护》《白细胞之决战病毒》《血液的独家秘闻》五册，绘本以血液科普内容为基石，通过“小雪”和细胞朋友们的神奇奇遇，以故事的形式展开了有关细胞、血型、血液循环等健康类血液科普内容的绘本特色表达。绘本把血液健康内容融入生动的故事情节，让孩子们在阅读的同时，对身体血液细胞有了初步的认知，是寓教于乐的科普绘本，也是国内第一套血液健康的绘本。本套绘本对无偿献血意义重大，它是深圳无偿献血30周年之际的优秀作品。同时，对于提升深圳市青少年儿童的文明素养、综合能力和健康意识，树立健康的生活习惯均具有重要积极意义。
9787501593330,保护视力,"(韩)李贤,著",知识出版社,2017.3,"韩国PICTO STUDIO公司,绘;千太阳,译",148.00,精装,24*25,,健康小超人,,1,中文,,科普/百科,临床医学,R77-49,2016-11,视力保护; 儿童读物,,除了那些在幼儿期就有严重视力障碍的孩子，家长似乎很少主动关心自己孩子的视力问题，再加上平时工作繁忙，很多家长都是在孩子已经出现了严重的视力问题以后，才意识到事情的严重性。这本书里有很多关于眼部健康的常识，希望各位家长可以通过这本书，对孩子的眼部健康更加关心，帮助他们养成健康的用眼习惯。
9787569228878,智勇多才的侠客名仕,张丽璇,吉林大学出版社,2018.9,,25.00,平装,17 * 24,,少年读资治通鉴,,1,中文,,儿童文学,文学,1287.5,2018-08,儿童故事; 历史故事; 作品集; 中国; 当代,,本书从《资治通鉴》中精选了很多为世人津津乐道的侠客名仕，比如商鞅、张仪、苏秦、范雎、触龙、毛遂、荆轲、韩非、杨震、蔡邕、石崇、王羲之、檀道济、祖冲之、陶弘景等的故事。另外，我们可以看到漆身吞炭报主恩的豫让、重诺讲义刺韩傀的聂政、幡然醒悟除三害的周处、不惧生死劝叛将的颜真卿、直谏劝阻迎佛骨的韩愈……他们性格迥异、形象鲜明，或义薄云天，忠心赤胆，或勇猛果敢，或才高八斗，或三寸之舌，强于百万师；无不是展鸿图于谈笑中，兴风雨于反掌间。故事独立完整，语言通俗易懂。
9787558580970,最美中国,"日知图书, 编著",北方妇女儿童出版社,2024.2,,34.00,精装,21 *17,人一生要去的100个地方,少年游学,,1,中文,,科普/百科,地球科学,P942-49,2023-12,自然地理; 中国; 青少年读物,,《最美中国：人一生要去的100个地方》是专门为孩子游学而量身打造的中国地理通识读物，全书从六个角度出发，系统介绍了我国的遗址古建、园林寺庙、特色城市、山川地貌、水域风景、奇趣生物。精选100个国内景点，以科学生动的文字和精美的图片帮助孩子沉浸式探索祖国的大好河山。书中设计了“游学百科”“必去理由”“扩展知识”等多个栏目，有助于孩子横向和纵向拓展阅读面，更好地了解中华大地的地理与人文之美。本书“游”“学”一体，旨在让孩子在游学中建立民族自信，培养大格局，养成受用一生的地理思维。
9787558054853,写给青少年的中国书法简史,"吴旭春,著",江苏凤凰美术出版社,2022.6,,30.00,平装,17*24,,,,,中文,1,书法理论,艺术学,J292-09,2022-05,汉字; 书法史; 中国; 青少年读物,,书把中国书法置于中华民族传统文化思想的背景下展开，以书法发展史为主线，阐述书法艺术的渊源及发展演变；系统梳理文字的起源、书体的演变与发展、书法风格的发晨与传承、重要书法家及其代表作等书法史内容，力图以内在的艺术规律为脉络去梳理书法艺术现象，展现承载千年中国文化精神的书法艺术的独特魅力。
